bx,by,bz
42.801,2.1,1.211
42.809,2.089,1.194
42.82,2.081,1.191
42.836,2.074,1.152
42.863,2.062,1.113
42.852,2.112,1.312
42.832,2.115,1.289
42.817,2.123,1.273
42.809,2.112,1.257
42.801,2.108,1.23
42.809,2.1,1.226
42.814,2.093,1.206
42.825,2.074,1.186
42.844,2.063,1.179
42.864,2.059,1.151
42.898,2.04,1.136
42.884,2.104,1.272
42.852,2.119,1.265
42.833,2.119,1.249
42.821,2.108,1.233
42.821,2.104,1.21
42.821,2.089,1.206
42.825,2.078,1.19
42.837,2.07,1.179
42.856,2.051,1.175
42.88,2.035,1.155
42.911,2.02,1.151
42.895,2.089,1.23
42.864,2.097,1.225
42.844,2.108,1.218
42.829,2.097,1.21
42.829,2.097,1.186
42.829,2.089,1.186
42.837,2.074,1.174
42.849,2.055,1.163
42.868,2.044,1.163
42.887,2.028,1.151
42.915,2.02,1.155
42.895,2.085,1.206
42.864,2.082,1.217
42.849,2.097,1.221
42.837,2.085,1.213
42.833,2.078,1.194
42.837,2.066,1.198
42.84,2.055,1.187
42.852,2.044,1.182
42.868,2.028,1.186
42.884,2.02,1.182
42.911,2.013,1.198
42.888,2.066,1.151
42.864,2.078,1.175
42.853,2.089,1.185
42.841,2.074,1.182
42.845,2.066,1.166
42.845,2.059,1.174
42.848,2.047,1.163
42.856,2.036,1.159
42.865,2.024,1.166
42.88,2.024,1.167
42.899,2.013,1.198
42.86,2.074,1.127
42.856,2.089,1.155
42.853,2.093,1.167
42.849,2.078,1.166
42.845,2.074,1.151
42.841,2.063,1.155
42.848,2.047,1.147
42.856,2.039,1.147
42.864,2.028,1.147
42.864,2.024,1.143
42.856,2.009,1.186
42.829,2.082,1.147
42.852,2.085,1.167
42.853,2.101,1.151
42.849,2.104,1.127
42.845,2.078,1.127
42.845,2.074,1.135
42.849,2.063,1.131
42.861,2.055,1.127
42.864,2.035,1.12
42.853,2.031,1.095
42.81,2.012,1.115
42.833,2.097,1.221
42.88,2.097,1.174
42.876,2.108,1.131
42.857,2.093,1.111
42.837,2.093,1.103
42.833,2.089,1.123
42.845,2.082,1.127
42.868,2.078,1.123
42.892,2.07,1.103
42.884,2.063,1.041
42.817,2.047,0.974
42.751,2.218,1.269
42.775,2.225,1.272
42.772,2.237,1.279
42.763,2.237,1.272
42.759,2.233,1.249
42.759,2.225,1.237
42.771,2.218,1.218
42.786,2.203,1.21
42.791,2.203,1.221
42.771,2.203,1.21
42.701,2.203,1.178
42.771,2.21,1.32
42.779,2.214,1.292
42.779,2.233,1.28
42.775,2.229,1.268
42.771,2.222,1.245
42.779,2.218,1.233
42.783,2.207,1.217
42.794,2.203,1.202
42.798,2.191,1.194
42.798,2.188,1.159
42.798,2.184,1.108
42.814,2.207,1.324
42.798,2.207,1.292
42.795,2.222,1.272
42.79,2.214,1.257
42.79,2.21,1.234
42.795,2.21,1.229
42.802,2.203,1.202
42.814,2.18,1.178
42.822,2.176,1.178
42.841,2.172,1.139
42.872,2.154,1.104
42.849,2.195,1.308
42.825,2.195,1.284
42.81,2.207,1.264
42.802,2.206,1.253
42.802,2.206,1.23
42.806,2.199,1.218
42.813,2.188,1.202
42.825,2.176,1.191
42.845,2.161,1.175
42.872,2.15,1.139
42.907,2.142,1.131
42.872,2.184,1.272
42.841,2.191,1.253
42.826,2.199,1.241
42.823,2.192,1.236
42.814,2.192,1.209
42.823,2.192,1.204
42.826,2.169,1.189
42.846,2.165,1.173
42.862,2.146,1.169
42.885,2.135,1.149
42.92,2.116,1.145
42.89,2.165,1.227
42.862,2.169,1.219
42.839,2.184,1.215
42.832,2.18,1.211
42.828,2.181,1.186
42.832,2.173,1.191
